,Species,count,normalized_cumsum
0,Alnus parvifolia,33,0.04365079365079365
1,Lomatia occidentalis,32,0.08597883597883597
2,Parvileguminophyllum coloradensis,30,0.12566137566137567
3,Cedrelospermum nervosum,30,0.16534391534391535
4,Rhus nigricans,27,0.20105820105820105
5,Lauraceae sp. TY084,21,0.22883597883597884
6,Platanites raynoldsii,21,0.2566137566137566
7,Sapindaceae sp. TY018,18,0.2804232804232804
8,Lindera varifolia,18,0.30423280423280424
9,Castaneophyllum patagonicum,17,0.32671957671957674
10,Lauraceae sp. SA010,17,0.3492063492063492
11,Atherospermophyllum guinazui,16,0.37037037037037035
12,Malvaceae sp. TY023,16,0.3915343915343915
13,Rhamnaceae sp. TY025,15,0.4113756613756614
14,Erlingdorfia montana,15,0.4312169312169312
15,Fabaceae sp. TY117,14,0.4497354497354497
16,Trochodendroides genetrix,13,0.4669312169312169
17,Eucalyptus frenguelliana,13,0.48412698412698413
18,Cunoniaceae sp. SA020,13,0.5013227513227513
19,Cercidiphyllum obtritum,12,0.5171957671957672
20,Laurophyllum piatnitzkyi,12,0.533068783068783
21,Persites argutus,11,0.5476190476190477
22,Allophylus flexifolia,10,0.5608465608465608
23,Fabaceae sp. CJ1,10,0.5740740740740741
24,Lomatia preferruginea,9,0.5859788359788359
25,Macginitiea wyomingensis,9,0.5978835978835979
26,Caesalpinia pecorae,9,0.6097883597883598
27,Ziziphoides flabellum,9,0.6216931216931217
28,Cunoniaceae sp. TY116,9,0.6335978835978836
29,Akania patagonica,9,0.6455026455026455
30,Grewiopsis saportana,8,0.656084656084656
31,Salix cockerelli,8,0.6666666666666666
32,Spiraea sp. RP29,8,0.6772486772486772
33,Juglandiphyllites glabra,7,0.6865079365079365
34,Platanites marginata,7,0.6957671957671958
35,Ulmus sp. RP17,7,0.705026455026455
36,Menispermites cerrejonensis,6,0.7129629629629629
37,Leguminosites lesquereuxiana,6,0.7208994708994709
38,Sassafras hesperia,6,0.7288359788359788
39,Browniea serrata,6,0.7367724867724867
40,Malvaciphyllum macondicus,6,0.7447089947089947
41,Syzygioides americana,5,0.7513227513227513
42,Rhus malloryi,5,0.7579365079365079
43,Lauraceae sp. CJ5,5,0.7645502645502645
44,Cardiospermum coloradensis,5,0.7711640211640212
45,Marmarthia pearsoni,5,0.7777777777777778
46,Leepierciea preartocarpoides,5,0.7843915343915344
47,Triumfetta ovata,4,0.7896825396825397
48,Anacardiaceae sp. CJ34,4,0.794973544973545
49,Lauraceae sp. FW28,4,0.8002645502645502
50,Montrichardia aquatica,4,0.8055555555555556
51,Betula leopoldae,4,0.8108465608465608
52,Macginitiea gracilis,4,0.8161375661375662
53,Davidia antiqua,4,0.8214285714285714
54,Euphorbiaceae sp. CJ24,4,0.8267195767195767
55,Populus wilmattae,4,0.832010582010582
56,Suessenia grandensis,4,0.8373015873015873
57,Itea sp. RP19,3,0.8412698412698413
58,Beringiaphyllum cupanioides,3,0.8452380952380952
59,Crataegus sp. RP42,3,0.8492063492063492
60,aff. Crataegus sp. RP32,3,0.8531746031746031
61,Meliaceae sp. CJ2,3,0.8571428571428571
62,Fabaceae sp. CJ55,3,0.8611111111111112
63,Aesculus hickeyi,3,0.8650793650793651
64,Arecaceae sp. CJ67,3,0.8690476190476191
65,Cornus sp. RP62,3,0.873015873015873
66,Celtis aspera,3,0.876984126984127
67,Lauraceae sp. CJ22,3,0.8809523809523809
68,Populus tidwellii,3,0.8849206349206349
69,Photinia pageae,3,0.8888888888888888
70,Rosaceae sp. RP61,2,0.8915343915343915
71,Populus cinnamomoides,2,0.8941798941798942
72,Ripogonum americanum,2,0.8968253968253969
73,Prunus sp. RP54,2,0.8994708994708994
74,Zingiberaceae CJ65,2,0.9021164021164021
75,Schoepfia republicensis,2,0.9047619047619048
76,Theaceae sp. RP49,2,0.9074074074074074
77,Marmarthia trivialis,2,0.91005291005291
78,Acer lesquereuxi,2,0.9126984126984127
79,cf. Quercus sp. GR522,2,0.9153439153439153
80,Araceae sp. CJ80,2,0.917989417989418
81,Fabaceae sp. GR567,2,0.9206349206349206
82,Fabaceae sp. morphotype 3,2,0.9232804232804233
83,Fabaceae sp. CJ19,2,0.9259259259259259
84,Corylites sp. FW01,2,0.9285714285714286
85,Cornus swingii,2,0.9312169312169312
86,Archeampelos lobatocrenata,2,0.9338624338624338
87,Langeria magnifica,2,0.9365079365079365
88,Malvaceae sp. CJ25,2,0.9391534391534392
89,Ulmites microphylla,1,0.9404761904761905
90,Corylites sp. BB05,1,0.9417989417989417
91,Alnus sp. RR14,1,0.9431216931216931
92,Ziziphoides sp. RP37,1,0.9444444444444444
93,Fabaceae sp. GR554,1,0.9457671957671958
94,Anacardiaceae sp. TY203,1,0.9470899470899471
95,Ericaceae sp. RP41,1,0.9484126984126984
96,Dombeya novi-mundi,1,0.9497354497354498
97,Apocynaceae sp. RR17,1,0.951058201058201
98,Stillingia casca,1,0.9523809523809523
99,Wilkinsoniphyllum menispermoides,1,0.9537037037037037
100,Zingiberaceae CJ49,1,0.955026455026455
101,Comptonia columbiana,1,0.9563492063492064
102,Betula sp. RP021,1,0.9576719576719577
103,Tilia johnsoni,1,0.958994708994709
104,Fabaceae sp. SA045,1,0.9603174603174603
105,Zelkova sp. RP50,1,0.9616402116402116
106,Trochodendron nastae,1,0.9629629629629629
107,Arecaceae sp. CJ68,1,0.9642857142857143
108,Malvaceae sp. CJ36,1,0.9656084656084656
109,Fabaceae sp. morphotype 2,1,0.966931216931217
110,Rhamnica cleburnii,1,0.9682539682539683
111,Liriodendrites bradacii,1,0.9695767195767195
112,Menispermaceae sp. GR507,1,0.9708994708994709
113,Lauraceae sp. RR19,1,0.9722222222222222
114,Menispermites cordatus,1,0.9735449735449735
115,Menispermites horizontalis,1,0.9748677248677249
116,Monimiophyllum callidentatum,1,0.9761904761904762
117,Lauraceae sp. FW03,1,0.9775132275132276
118,Myrtaceae sp. TY041,1,0.9788359788359788
119,Lauraceae sp. FW02,1,0.9801587301587301
120,Petrocardium cerrejonense,1,0.9814814814814815
121,Petrocardium wayuuorum,1,0.9828042328042328
122,Juglandaceae sp. GR519,1,0.9841269841269841
123,Juglandaceae sp. BB09,1,0.9854497354497355
124,Hovenia cf. H. oregonensis,1,0.9867724867724867
125,Platanus sp. GR506,1,0.9880952380952381
126,Platycarya americana,1,0.9894179894179894
127,Platycarya castaneopsis,1,0.9907407407407407
128,Gymnocladus hesperia,1,0.9920634920634921
129,Ficus planicostata,1,0.9933862433862434
130,Fagaceae sp. RP60,1,0.9947089947089947
131,Populus wyomingiana,1,0.996031746031746
132,Proteaceae sp. TY208,1,0.9973544973544973
133,Fagaceae sp. RP154,1,0.9986772486772487
134,Rhododendron sp. RP53,1,1.0
